time	ntp_time	seq_number	A1	A2	A3	A4	A5	A6	A7	AT	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	BT	D1	D2	D3	D4	D5	D6	D7	DT	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	ET	TempArmário
0.944	2023-05-16 11:49:04	510.0	139.83	167.96	137.95	144.73	107.77	162.65	78.04	25.96	116.65	121.6	61.42	155.57	150.2	157.45	92.63	148.84	29.94	37.47	109.11	113.38	174.24	106.77	104.82	25.6	72.14	156.88	137.24	11.14	67.4	-74.19	303.12	24.87	90.14	74.04	30.46	163.55	134.92	92.6	98.47	71.13	7.661	-57.0	-23.69	57.36	59.8	108.09	335.14	24.63	1525.2
0.946	2023-05-16 11:49:04	510.0	139.62	168.46	138.86	144.63	109.16	163.34	77.85	25.87	116.44	120.98	61.93	156.58	150.3	157.65	91.43	147.84	30.34	37.86	109.5	113.38	174.63	107.65	105.79	25.75	73.98	156.88	139.16	10.53	67.2	-75.38	302.83	24.85	90.24	74.24	28.73	163.76	135.23	92.4	98.27	70.23	7.661	-57.0	-22.61	57.95	60.58	109.16	333.58	24.78	1525.2
0.948	2023-05-16 11:49:04	510.0	139.42	167.14	137.75	144.83	106.57	162.45	78.04	26.02	117.88	120.68	60.1	156.58	149.09	157.04	91.53	149.44	30.24	38.36	109.5	113.48	174.04	107.65	104.43	25.65	72.14	156.68	137.95	11.14	67.6	-75.58	302.63	24.88	90.24	73.63	30.77	162.44	134.12	91.4	99.48	71.63	7.462	-57.99	-23.69	57.56	59.01	109.65	333.49	24.75	1525.2
0.95	2023-05-16 11:49:04	510.0	139.42	168.67	138.15	144.73	109.26	162.45	77.75	25.85	116.65	120.68	61.32	156.79	149.59	157.65	91.73	148.44	30.94	37.96	108.81	113.78	173.75	106.18	105.79	25.73	72.14	157.59	138.55	10.93	67.4	-76.17	302.14	24.78	90.86	75.67	29.95	164.47	134.32	92.6	99.88	71.63	7.462	-56.2	-24.58	57.46	59.99	109.16	334.07	24.75	1525.2
0.952	2023-05-16 11:49:04	510.0	140.44	168.67	138.15	144.22	108.77	162.94	77.26	25.86	115.83	121.6	61.32	155.97	149.29	157.14	91.73	149.44	30.54	37.86	109.11	112.79	174.04	107.94	104.04	25.7	72.75	157.9	138.45	10.93	68.2	-75.08	302.23	24.75	90.14	74.65	31.78	163.45	134.62	92.4	97.87	70.83	6.268	-57.0	-23.99	57.95	60.39	109.85	334.07	24.79	1525.2
0.954	2023-05-16 11:49:04	510.0	139.62	168.06	138.15	145.43	109.16	162.74	77.55	25.96	117.06	121.29	62.03	156.18	150.4	158.65	91.33	150.34	30.34	37.47	108.51	114.37	174.53	107.75	104.92	25.73	72.65	156.68	138.05	10.93	67.2	-74.79	302.53	24.8	90.35	74.24	30.77	163.66	135.53	92.5	98.07	71.63	6.666	-56.8	-23.3	58.54	60.97	109.46	333.88	24.81	1525.2
0.956	2023-05-16 11:49:04	510.0	140.24	168.06	137.24	144.43	109.16	162.15	78.24	25.96	115.83	119.86	61.42	156.08	148.68	157.45	92.33	148.44	31.14	36.48	108.51	113.38	174.04	106.09	104.82	25.73	72.75	156.68	137.95	10.53	67.7	-73.5	303.22	24.83	90.14	73.32	30.77	163.66	134.32	92.81	97.07	71.03	7.362	-56.7	-25.67	57.75	60.48	110.63	334.07	24.75	1525.2
0.958	2023-05-16 11:49:04	510.0	139.01	168.26	138.66	145.23	109.66	161.75	76.86	26.03	116.24	120.68	60.81	157.29	149.59	157.85	92.03	149.14	32.13	37.07	109.11	112.6	174.43	106.77	105.6	25.67	71.52	156.88	138.45	11.44	66.9	-73.0	303.22	24.93	90.45	74.96	30.56	164.16	134.62	92.81	98.07	72.03	7.959	-57.0	-23.89	58.25	61.95	108.48	333.88	24.7	1525.2
0.96	2023-05-16 11:49:04	510.0	140.75	167.85	137.75	144.12	109.76	162.45	77.36	25.76	116.34	120.47	61.93	156.79	150.4	157.75	92.03	149.44	30.94	37.27	109.5	114.37	174.24	106.38	105.11	25.73	73.98	155.97	138.55	10.93	67.7	-75.97	302.43	24.73	90.55	73.01	30.77	162.84	134.92	93.01	97.87	70.83	7.661	-58.38	-22.61	58.15	59.6	109.46	333.88	24.75	1525.2
0.962	2023-05-16 11:49:04	510.0	139.83	168.26	138.25	145.03	108.67	162.35	77.06	25.96	116.24	121.7	61.83	155.67	149.79	158.05	93.13	147.64	31.14	37.86	109.9	114.56	174.82	107.94	105.89	25.68	73.98	156.68	139.06	11.44	67.1	-75.38	303.12	24.79	89.73	74.96	30.36	164.87	135.02	92.6	98.17	70.83	7.064	-56.2	-22.11	57.95	61.56	109.07	334.46	24.78	1525.2
0.964	2023-05-16 11:49:04	510.0	139.52	168.46	137.75	145.03	108.77	161.75	77.26	25.88	117.88	121.09	62.03	156.18	149.79	158.05	91.13	149.24	31.53	37.47	108.12	114.17	173.75	107.75	105.79	25.83	72.14	157.49	138.05	9.33	68.4	-73.6	302.33	24.79	90.86	74.34	30.77	164.06	135.02	92.81	99.08	71.23	8.258	-57.1	-24.68	57.36	59.8	109.75	332.61	24.78	1525.2
0.966	2023-05-16 11:49:04	510.0	139.62	168.06	138.56	144.53	109.56	163.14	77.45	25.98	116.65	120.68	61.22	156.58	150.2	158.25	92.33	149.44	32.13	37.77	108.71	113.38	173.26	108.43	105.11	25.68	72.75	156.68	138.05	11.54	66.6	-75.38	303.42	24.88	90.14	74.34	29.34	163.66	134.32	92.4	98.77	71.03	7.661	-57.0	-24.29	57.95	61.37	108.77	332.61	24.76	1525.2
0.968	2023-05-16 11:49:04	510.0	139.52	167.65	137.95	145.83	108.97	163.34	77.75	25.85	116.65	122.01	61.93	156.08	149.99	157.65	91.43	149.04	31.43	37.86	107.53	112.99	174.82	107.36	105.11	25.53	73.47	157.9	137.85	10.53	67.0	-75.78	302.23	24.7	89.42	74.75	31.68	164.06	135.13	92.4	98.97	70.83	6.666	-57.2	-24.68	57.66	61.46	108.87	333.88	24.7	1525.2
0.97	2023-05-16 11:49:04	510.0	139.42	168.06	138.15	145.83	109.16	162.84	77.26	25.98	116.44	120.06	61.42	157.19	148.98	158.05	90.73	148.44	30.94	36.28	108.51	114.37	174.73	107.94	106.38	25.58	73.37	156.27	138.45	10.93	68.2	-75.18	303.61	24.8	91.06	74.34	30.97	163.35	134.52	92.2	98.87	71.03	6.666	-56.8	-24.29	57.75	61.37	109.07	331.93	24.68	1525.2
0.972	2023-05-16 11:49:04	510.0	140.13	168.26	137.24	144.02	109.26	162.15	78.24	25.96	117.37	120.47	60.81	156.08	149.49	158.25	91.73	148.74	31.43	37.47	108.91	113.97	174.04	107.16	105.79	25.58	73.47	157.19	137.95	10.33	67.8	-74.98	302.63	24.87	90.14	73.73	31.58	163.66	135.33	93.61	98.87	70.83	7.462	-57.79	-24.09	56.97	59.9	109.85	334.26	24.6	1525.2
0.974	2023-05-16 11:49:04	510.0	139.62	169.07	138.25	143.52	109.76	162.94	77.85	25.96	117.06	120.68	61.32	155.97	150.1	158.25	92.33	149.74	32.93	37.47	108.61	113.97	175.02	107.45	104.92	25.58	72.14	157.9	138.45	11.14	66.6	-74.39	302.04	24.87	90.35	74.34	30.97	163.05	135.33	93.01	97.87	71.83	6.964	-57.39	-24.58	58.54	61.17	109.07	333.58	24.68	1525.2
0.976	2023-05-16 11:49:04	510.0	139.72	167.65	137.55	145.23	109.36	162.94	77.26	26.06	117.47	122.11	60.81	155.37	149.09	158.05	90.73	148.84	30.94	37.07	109.7	113.58	174.43	107.45	105.02	25.75	73.47	157.19	138.05	11.14	67.1	-74.69	302.83	24.98	90.86	73.73	31.68	162.74	134.92	92.0	98.67	71.43	7.661	-56.4	-23.79	56.97	60.09	108.48	335.04	24.78	1525.2
0.978	2023-05-16 11:49:04	510.0	139.83	167.85	138.96	145.33	107.57	162.65	75.58	25.86	117.06	122.31	61.52	156.79	149.49	157.24	91.13	148.84	30.54	37.37	108.71	114.96	174.24	107.36	105.31	25.55	72.14	156.68	138.45	10.93	66.9	-75.97	302.23	24.68	90.96	74.75	31.78	164.37	135.33	92.2	99.68	71.43	7.86	-56.4	-23.69	58.74	61.37	109.65	333.29	24.65	1525.2
0.98	2023-05-16 11:49:04	510.0	140.03	168.16	137.55	145.63	109.36	162.35	76.67	25.88	117.06	121.5	61.42	156.79	149.89	158.45	90.93	148.84	30.74	38.66	108.12	113.38	174.63	107.45	104.63	25.73	73.37	157.9	137.85	10.53	67.4	-74.19	301.74	24.83	90.24	74.65	31.17	162.64	135.33	92.4	99.48	70.83	7.362	-56.8	-24.68	57.75	60.68	109.36	334.46	24.83	1525.2
0.982	2023-05-16 11:49:04	510.0	139.42	168.46	137.75	144.12	108.17	163.14	76.27	25.96	115.93	121.5	61.32	156.79	149.89	158.96	91.33	148.84	31.14	37.27	109.7	114.27	173.84	107.75	104.43	25.54	72.75	157.8	138.05	10.33	68.0	-75.48	302.23	24.8	89.83	73.93	31.38	163.05	135.43	92.4	98.47	70.73	7.462	-56.8	-22.41	57.95	60.58	109.85	334.07	24.63	1525.2
0.984	2023-05-16 11:49:04	510.0	139.83	168.26	138.76	145.23	109.16	162.25	78.44	25.96	116.85	120.27	62.44	155.37	150.2	155.53	92.33	149.94	30.94	38.06	108.51	113.48	175.41	106.77	105.89	25.6	73.37	156.88	139.16	11.14	67.2	-73.2	302.53	24.79	89.93	73.32	31.38	162.03	135.53	92.5	98.67	70.83	6.467	-57.0	-24.29	57.95	60.97	108.87	334.46	24.7	1525.2
0.986	2023-05-16 11:49:04	510.0	139.62	168.26	138.56	144.32	110.36	162.45	77.06	25.92	116.65	121.6	61.42	156.08	150.6	158.65	92.33	148.24	31.14	37.96	108.91	113.88	174.24	109.11	103.46	25.73	73.37	155.66	138.55	10.93	67.8	-74.79	303.02	24.84	90.76	74.04	29.85	163.66	134.82	93.41	98.07	70.83	7.163	-57.0	-23.0	58.34	59.99	109.26	334.65	24.81	1525.2
0.988	2023-05-16 11:49:04	510.0	140.03	168.87	137.95	144.83	109.16	161.66	78.54	25.86	116.85	120.58	61.93	157.19	149.59	158.25	92.13	149.44	32.13	37.86	109.5	113.78	174.24	107.16	106.18	25.7	73.37	157.59	138.05	11.54	66.41	-74.98	302.43	24.83	89.93	74.04	30.97	163.15	135.23	93.31	98.67	71.83	7.064	-57.2	-23.69	57.75	61.46	108.68	333.49	24.79	1525.2
0.99	2023-05-16 11:49:04	510.0	139.72	168.26	138.15	145.63	108.37	162.65	76.67	25.86	116.13	121.6	61.32	156.79	148.78	157.14	91.93	148.24	30.14	37.67	109.9	114.37	174.24	108.43	104.43	25.55	71.52	157.49	138.45	10.93	67.6	-73.4	302.43	24.82	89.93	74.04	31.78	163.86	134.92	91.8	99.28	70.23	7.76	-56.4	-23.1	58.15	60.78	109.07	334.26	24.58	1525.2
0.992	2023-05-16 11:49:04	510.0	139.42	167.04	138.15	144.22	108.77	162.05	77.65	25.96	116.44	120.98	61.83	156.18	149.49	158.05	91.53	149.04	32.13	36.87	109.9	113.48	173.84	108.43	106.38	25.78	72.04	156.68	138.65	9.631	67.0	-74.89	303.42	24.87	89.63	74.96	30.77	163.45	135.53	93.21	97.87	70.83	7.064	-56.8	-23.3	56.67	61.17	109.85	333.1	24.8	1525.2
0.994	2023-05-16 11:49:04	510.0	139.42	168.46	137.75	145.13	109.07	163.14	77.85	25.86	116.65	121.7	61.42	156.18	149.79	157.65	92.13	149.44	30.34	38.46	109.7	113.97	175.41	106.58	104.82	25.63	72.14	157.49	137.95	10.33	66.8	-74.59	302.83	24.78	89.42	75.67	30.97	163.86	134.32	92.4	99.28	70.83	6.666	-57.79	-23.1	58.74	60.58	108.68	334.26	24.71	1525.2
0.996	2023-05-16 11:49:04	510.0	140.03	167.45	137.45	144.83	108.37	163.14	77.45	25.96	116.24	120.68	61.93	155.97	150.6	158.65	91.53	149.64	29.74	38.06	109.3	113.58	174.43	107.94	106.96	25.73	72.75	156.07	137.95	10.33	68.8	-74.79	302.83	24.8	90.45	74.34	31.17	163.25	134.82	93.21	99.08	71.63	7.163	-56.1	-23.69	57.36	60.58	109.55	333.1	24.75	1525.2
0.998	2023-05-16 11:49:04	510.0	139.72	168.67	138.05	145.83	109.16	162.55	78.24	26.06	116.24	120.98	60.81	156.79	150.2	158.05	91.53	149.14	31.63	37.86	108.91	113.78	173.65	107.94	105.4	25.62	73.37	157.49	138.05	10.53	66.9	-74.39	302.73	24.98	90.04	74.65	31.28	163.15	135.53	92.0	100.08	71.63	7.263	-57.39	-23.5	57.85	60.97	109.65	333.88	24.7	1525.2
1.0	2023-05-16 11:49:04	510.0	139.72	167.85	138.36	145.43	108.77	162.55	77.75	25.83	116.65	120.68	60.81	156.79	150.4	156.94	91.03	149.44	30.14	38.06	108.71	114.17	173.45	106.77	104.82	25.58	72.75	157.9	138.45	10.93	68.8	-74.59	302.04	24.78	89.42	74.34	31.68	163.35	135.93	91.6	99.38	71.63	7.661	-56.6	-23.69	58.15	60.39	110.43	333.49	24.68	1525.2
1.002	2023-05-16 11:49:04	510.0	139.83	167.45	138.76	144.22	108.97	162.35	77.85	25.88	116.03	121.7	61.42	157.29	150.1	158.45	92.93	149.14	30.14	37.07	109.11	113.97	174.04	108.14	104.82	25.73	72.75	157.29	137.85	10.53	67.1	-73.4	302.04	24.8	89.42	74.55	30.66	163.15	134.72	93.41	98.87	71.03	7.263	-57.79	-25.08	57.66	60.58	109.07	333.88	24.75	1525.2
1.004	2023-05-16 11:49:04	510.0	139.21	167.65	137.95	144.73	109.16	162.94	77.65	25.91	116.34	121.39	61.32	155.97	149.89	159.36	91.53	149.14	31.43	37.67	108.81	114.66	174.04	107.36	104.63	25.78	73.37	156.27	138.05	11.54	67.0	-75.18	303.22	24.8	90.55	74.34	31.17	163.86	135.43	93.21	99.28	71.43	7.661	-56.6	-23.5	58.54	60.97	109.55	334.26	24.8	1525.2
1.006	2023-05-16 11:49:04	560.0	139.62	167.65	137.75	144.83	109.36	162.74	78.04	25.87	116.96	121.29	60.6	156.18	149.89	158.45	92.53	149.74	31.14	38.56	109.7	114.17	174.43	107.94	105.99	25.63	72.75	155.56	138.05	10.53	66.01	-74.39	302.53	24.85	89.73	74.24	30.66	163.05	134.82	93.61	98.37	70.83	6.964	-57.39	-23.0	57.16	60.39	109.65	333.88	24.73	1525.2
1.008	2023-05-16 11:49:04	560.0	139.62	166.84	138.15	144.63	109.16	162.45	79.03	26.01	116.13	120.37	61.42	156.58	149.89	158.96	91.43	150.04	31.63	37.67	108.91	114.07	173.65	107.75	106.09	25.79	72.14	155.66	138.45	11.44	67.4	-75.97	302.83	24.93	90.55	73.63	30.97	163.86	135.33	93.61	98.17	70.83	7.362	-57.0	-24.09	57.36	60.48	109.75	333.49	24.8	1525.2
1.01	2023-05-16 11:49:04	560.0	139.83	168.67	138.36	145.03	108.77	162.55	77.26	26.03	117.06	121.29	60.2	154.86	150.2	157.95	91.93	150.64	29.84	37.86	109.7	113.58	174.53	107.94	105.21	25.75	73.98	157.49	138.45	9.631	68.4	-73.99	303.81	24.87	90.24	74.24	30.05	162.44	134.22	93.21	99.48	72.23	6.865	-57.0	-22.31	56.97	60.19	109.07	334.36	24.84	1525.2
1.012	2023-05-16 11:49:04	560.0	138.8	168.46	138.36	144.63	108.67	162.84	76.86	25.96	116.44	121.7	62.03	156.68	150.6	157.45	91.73	148.84	30.74	37.47	109.4	114.17	173.26	106.18	104.14	25.75	72.14	157.29	137.95	11.54	67.8	-73.6	301.64	24.79	90.14	74.34	30.77	164.67	135.43	91.6	99.08	71.43	6.865	-57.2	-23.99	58.25	60.39	109.26	334.07	24.7	1525.2
1.014	2023-05-16 11:49:04	560.0	139.83	168.46	137.75	145.43	108.17	162.45	78.04	25.98	116.34	122.01	61.22	157.19	149.39	158.45	91.93	149.64	31.43	37.86	109.7	114.17	173.65	108.72	104.43	25.67	73.37	156.88	137.85	11.14	67.4	-74.98	302.23	24.88	90.55	74.04	31.68	163.25	134.42	93.41	99.68	70.83	7.263	-57.2	-22.41	57.56	59.41	108.87	333.97	24.75	1525.2
1.016	2023-05-16 11:49:04	560.0	140.03	168.36	137.75	144.63	108.77	162.35	77.95	25.91	116.65	120.27	61.32	156.58	150.1	157.04	91.93	150.64	31.43	38.56	109.3	114.96	173.45	107.36	104.04	25.8	73.47	156.47	138.45	10.93	67.4	-75.97	303.02	24.8	90.14	74.04	30.36	163.25	135.33	91.4	98.27	72.13	7.064	-57.59	-23.69	58.15	60.97	109.07	334.46	24.83	1525.2
1.018	2023-05-16 11:49:04	560.0	139.83	168.16	137.55	144.73	108.77	162.45	77.75	25.91	116.24	121.39	61.93	156.58	149.69	158.25	91.33	150.44	29.74	36.97	110.09	113.78	174.73	108.14	105.4	25.6	73.98	156.07	138.05	10.33	67.0	-74.19	303.02	24.88	89.73	74.96	29.85	162.84	134.72	93.61	100.48	71.83	7.064	-57.0	-23.2	56.97	60.39	109.85	334.26	24.63	1525.2
1.02	2023-05-16 11:49:04	560.0	138.8	168.06	138.66	144.02	107.77	162.74	78.24	26.06	116.24	121.09	60.81	156.58	149.19	158.45	90.33	148.84	32.33	36.87	108.32	114.56	174.63	107.75	106.38	25.68	72.75	156.68	138.45	10.33	67.8	-73.99	302.43	24.98	89.73	74.34	30.77	164.67	135.02	93.01	99.68	71.73	7.76	-57.2	-24.48	58.15	61.95	108.77	333.68	24.78	1525.2
1.022	2023-05-16 11:49:04	560.0	139.62	168.26	138.25	144.83	109.76	163.74	76.76	25.95	115.72	121.9	61.83	156.18	149.39	156.84	93.13	148.84	31.43	37.86	107.92	112.4	174.73	108.53	104.43	25.75	72.75	156.27	138.45	10.93	67.1	-75.97	301.45	24.78	90.24	75.26	30.36	163.86	134.52	92.2	98.17	70.83	7.263	-57.59	-25.47	57.95	61.95	111.02	334.65	24.84	1525.2
1.024	2023-05-16 11:49:04	560.0	139.31	168.46	138.56	145.23	110.56	162.94	76.27	25.91	116.24	121.8	61.22	154.25	149.79	157.35	90.03	148.84	31.83	38.06	107.92	114.56	173.06	108.14	105.4	25.68	73.98	157.8	138.45	10.93	67.0	-74.19	302.23	24.8	89.73	74.44	30.56	163.76	133.91	91.9	98.97	70.83	7.064	-56.4	-25.37	58.05	60.68	108.58	334.46	24.76	1525.2
1.026	2023-05-16 11:49:04	560.0	139.42	168.06	137.55	144.12	108.17	161.56	78.04	25.96	116.03	121.6	61.83	155.47	149.69	157.45	91.13	149.04	31.73	38.06	109.7	114.66	173.84	107.16	104.63	25.68	73.37	156.47	138.45	10.33	67.4	-74.98	303.02	24.8	90.14	74.65	31.68	163.05	134.72	92.81	97.67	71.63	7.163	-57.2	-23.0	57.95	61.46	109.16	335.14	24.7	1525.2
1.028	2023-05-16 11:49:04	560.0	139.42	168.46	137.45	144.83	109.96	162.74	77.65	25.96	116.65	120.88	61.42	157.19	149.29	157.95	91.53	148.44	31.14	37.96	109.11	113.58	174.24	109.01	105.4	25.59	72.14	156.68	138.55	10.53	67.2	-74.39	303.22	24.87	90.76	74.04	31.17	163.76	135.33	92.81	98.87	71.33	6.865	-57.2	-23.69	57.75	61.17	109.85	334.65	24.61	1525.2
1.03	2023-05-16 11:49:04	560.0	139.72	167.65	138.76	146.03	107.67	162.94	77.45	26.01	116.65	120.58	61.83	157.19	150.2	157.14	90.33	148.24	31.14	37.27	109.3	114.17	174.63	106.77	104.63	25.75	73.37	155.05	137.95	10.33	67.4	-75.18	302.14	24.93	90.14	74.04	30.46	163.45	134.82	92.7	99.28	70.23	6.865	-56.8	-23.1	57.16	59.99	109.07	334.07	24.85	1525.2
1.032	2023-05-16 11:49:04	560.0	139.31	168.67	138.15	145.23	110.06	162.55	78.83	26.0	116.65	121.5	61.42	156.18	149.59	158.45	91.43	149.04	31.14	37.47	109.7	113.29	174.04	108.43	104.63	25.65	72.75	156.88	137.85	12.14	67.2	-75.18	302.04	24.88	90.86	73.73	30.97	163.45	135.23	93.01	98.27	71.63	7.362	-56.8	-22.11	57.56	61.76	108.87	334.85	24.75	1525.2
1.034	2023-05-16 11:49:04	560.0	139.42	167.55	138.25	144.63	109.16	162.25	77.65	26.06	116.03	121.5	61.83	155.97	150.4	157.45	91.73	150.94	31.43	37.07	109.11	113.97	173.75	107.75	105.11	25.68	73.37	156.47	137.95	11.74	67.8	-73.8	302.43	24.98	89.11	73.73	30.97	164.06	134.72	92.0	98.17	71.23	6.666	-55.71	-23.3	58.05	60.39	110.04	334.26	24.7	1525.2
1.036	2023-05-16 11:49:04	560.0	139.52	168.46	138.15	144.32	109.16	162.15	77.26	25.98	116.85	121.19	61.93	156.58	150.1	158.05	92.33	148.84	30.74	38.26	109.11	113.97	174.82	107.75	104.92	25.58	72.75	157.29	137.85	10.33	67.8	-75.18	302.83	24.88	90.55	74.65	29.65	163.35	135.33	92.6	98.27	71.83	7.064	-56.4	-24.88	58.44	60.78	108.48	334.07	24.68	1525.2
1.038	2023-05-16 11:49:04	560.0	139.52	167.65	137.75	144.83	109.76	162.55	76.67	25.83	116.96	122.01	62.44	157.19	149.99	159.46	91.83	148.44	29.74	37.86	109.6	113.78	175.41	108.72	106.18	25.75	72.75	156.17	137.85	11.14	68.6	-74.98	302.73	24.7	89.73	75.47	30.36	163.15	135.53	94.52	97.17	71.43	7.86	-57.59	-22.9	58.54	61.95	109.85	333.1	24.83	1525.2
1.04	2023-05-16 11:49:04	560.0	139.01	167.85	138.56	143.82	108.77	163.34	77.36	25.88	116.44	121.9	61.32	156.58	150.4	159.46	92.33	150.34	30.14	38.26	109.11	114.17	174.53	106.77	105.4	25.63	72.14	157.9	137.85	9.932	67.2	-76.17	303.02	24.8	90.35	75.26	31.68	163.86	134.72	94.52	98.27	71.63	6.865	-56.8	-23.3	57.36	60.97	108.68	333.88	24.73	1525.2
1.042	2023-05-16 11:49:04	560.0	139.62	167.85	137.75	145.23	109.66	162.55	78.04	26.05	115.72	120.88	60.81	156.58	149.79	157.75	91.93	148.44	30.94	38.06	109.3	113.78	173.45	108.53	104.82	25.52	72.75	156.88	137.95	11.14	67.2	-74.59	303.02	24.9	89.93	74.04	30.36	163.45	134.92	92.4	98.37	71.33	7.661	-57.0	-23.69	58.05	60.58	109.85	333.29	24.6	1525.2
1.044	2023-05-16 11:49:04	560.0	140.44	167.65	137.55	143.82	109.16	162.94	78.04	25.8	118.08	122.01	61.83	157.29	150.1	156.44	91.13	149.44	30.94	38.46	108.91	113.58	174.82	107.36	104.43	25.73	72.14	155.97	137.95	11.54	66.51	-74.98	302.92	24.68	90.55	74.04	31.48	163.35	134.72	92.0	98.47	70.83	7.064	-56.4	-22.9	57.46	60.78	109.46	333.97	24.74	1525.2
1.046	2023-05-16 11:49:04	560.0	139.62	168.06	138.25	145.43	108.97	163.54	77.45	25.97	116.24	121.19	61.93	156.08	150.2	159.46	91.63	149.04	31.53	37.27	110.49	113.78	173.65	107.06	105.99	25.75	72.75	155.66	138.55	10.53	68.6	-75.38	302.83	24.84	90.45	74.65	30.97	163.25	134.32	94.21	98.87	71.43	6.865	-57.2	-22.9	58.25	59.41	108.48	333.1	24.83	1525.2
1.048	2023-05-16 11:49:04	560.0	139.42	168.26	137.55	144.22	108.77	162.15	76.86	25.86	117.16	121.29	61.11	156.58	149.69	159.66	92.23	148.44	30.34	37.47	109.11	114.56	174.82	107.36	106.09	25.8	72.75	156.27	138.65	11.54	67.8	-74.98	302.43	24.68	90.14	74.04	30.36	162.44	134.72	94.01	98.67	70.83	7.064	-57.99	-23.99	58.15	60.97	109.65	333.68	24.83	1525.2
1.05	2023-05-16 11:49:04	560.0	139.93	167.65	137.75	144.43	108.57	162.35	76.86	26.0	115.93	121.6	61.22	156.68	150.3	159.36	91.73	149.64	30.14	36.97	108.12	114.37	174.24	107.06	105.21	25.65	73.47	157.59	138.05	10.53	67.4	-74.39	303.02	24.84	90.86	74.04	31.58	164.67	135.23	93.21	98.07	70.63	6.765	-57.39	-25.08	57.56	60.78	108.87	333.88	24.68	1525.2
1.052	2023-05-16 11:49:04	560.0	139.21	167.45	138.76	144.53	109.76	163.34	76.47	26.06	116.85	121.29	62.03	157.5	149.89	157.04	92.13	148.44	30.74	37.37	110.0	113.58	173.75	108.53	105.02	25.78	73.37	156.27	138.05	10.93	67.7	-74.98	302.23	24.98	90.65	74.24	29.95	163.86	135.43	92.1	99.08	70.83	6.865	-55.91	-22.9	58.15	60.29	108.87	333.68	24.73	1525.2
1.054	2023-05-16 11:49:04	560.0	139.21	168.67	138.15	145.83	110.26	162.45	77.75	25.86	115.93	121.5	60.81	156.58	148.88	157.04	91.23	150.04	32.53	37.27	109.5	114.56	173.45	106.77	104.63	25.73	72.14	157.49	138.45	9.932	67.2	-75.78	303.02	24.75	89.93	73.93	30.97	163.05	133.51	92.4	99.08	71.03	7.76	-57.59	-23.2	57.36	59.9	109.07	333.88	24.8	1525.2
1.056	2023-05-16 11:49:04	560.0	139.62	168.06	137.95	145.83	108.77	162.55	77.26	25.98	115.83	119.96	63.15	157.19	149.89	158.45	92.13	149.14	30.34	37.47	109.5	113.09	174.24	107.75	104.82	25.75	73.37	156.98	137.85	10.93	68.0	-74.19	302.23	24.88	90.14	74.04	30.77	164.27	134.12	92.81	99.08	70.83	7.462	-57.39	-23.2	58.15	60.48	108.48	334.07	24.76	1525.2
1.058	2023-05-16 11:49:04	560.0	140.03	167.45	138.15	144.73	108.37	163.14	78.63	25.96	117.06	120.47	62.44	155.97	149.19	157.65	91.73	149.94	30.14	37.67	109.4	113.88	173.75	107.75	104.63	25.58	72.75	156.68	138.45	10.93	68.4	-74.79	302.63	24.9	89.93	74.65	31.48	162.44	135.13	93.01	98.17	69.93	7.064	-57.0	-23.5	58.44	60.58	108.87	334.07	24.68	1525.2
1.06	2023-05-16 11:49:04	560.0	139.42	168.87	137.95	144.32	108.77	162.35	78.04	25.88	115.52	121.5	60.71	157.19	149.89	157.75	93.13	148.84	31.14	37.86	109.7	113.09	172.86	108.14	105.6	25.8	73.37	157.29	137.85	11.74	67.8	-75.58	302.23	24.83	89.63	75.26	30.36	163.86	134.82	92.4	96.67	71.63	6.865	-58.19	-23.5	58.25	60.78	108.19	333.78	24.89	1525.2
1.062	2023-05-16 11:49:04	560.0	139.62	167.65	137.55	144.83	108.47	162.55	78.63	25.73	116.96	121.19	61.22	156.68	150.6	157.75	90.73	150.34	31.14	37.86	109.7	113.97	174.82	107.36	106.47	25.59	73.37	157.19	137.85	10.33	67.2	-75.18	302.63	24.72	89.73	74.24	30.77	163.45	134.82	93.61	100.08	71.03	7.163	-57.39	-23.0	57.95	60.19	109.85	333.1	24.68	1525.2
1.064	2023-05-16 11:49:04	560.0	139.83	168.67	137.75	143.62	109.36	162.65	77.26	25.8	116.96	122.01	60.6	156.58	149.49	157.45	91.73	149.44	30.54	37.96	109.11	112.89	173.65	107.94	106.28	25.69	72.75	157.49	137.95	10.53	68.1	-74.98	302.73	24.75	90.45	74.96	30.56	163.55	135.33	92.0	98.47	71.93	7.263	-56.8	-24.29	58.54	61.37	109.16	332.51	24.71	1525.2
1.066	2023-05-16 11:49:04	560.0	139.62	168.36	138.15	144.53	108.77	162.45	77.16	26.08	117.26	121.5	61.32	154.86	150.1	158.45	91.93	148.84	30.54	37.77	109.11	114.07	174.53	108.72	105.4	25.6	72.75	157.59	138.05	9.932	66.51	-75.97	301.94	24.93	90.86	75.26	29.95	164.67	135.33	93.01	99.28	71.23	7.462	-57.2	-23.89	57.56	60.39	109.55	334.26	24.78	1525.2
