time	ntp_time	seq_number	A1	A2	A3	A4	A5	A6	A7	AT	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	BT	D1	D2	D3	D4	D5	D6	D7	DT	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	ET	TempArmário
0.026	2023-05-16 11:49:03	60.0	139.62	167.65	138.76	145.03	109.16	162.74	77.75	25.93	116.65	121.09	61.83	156.79	149.39	158.45	92.53	149.04	31.33	37.67	109.5	113.29	174.53	107.36	106.09	25.65	72.75	156.68	138.45	11.14	68.4	-75.78	303.02	24.88	90.14	74.34	29.75	163.05	134.52	93.61	98.37	71.63	7.064	-57.39	-23.5	57.56	59.99	109.07	334.26	24.68	1525.2
0.028	2023-05-16 11:49:03	60.0	139.52	168.46	137.75	144.53	108.17	162.15	77.26	25.96	117.47	120.68	61.32	156.79	149.79	157.95	91.73	148.84	32.03	38.26	108.12	113.97	174.04	108.14	105.11	25.52	73.37	156.58	137.44	10.93	67.4	-74.79	302.63	24.87	90.55	73.63	30.77	163.05	135.53	93.71	98.17	70.83	6.865	-57.0	-24.78	58.15	60.58	108.68	334.75	24.6	1525.2
0.03	2023-05-16 11:49:03	60.0	139.62	167.24	137.55	144.12	109.16	162.55	77.75	25.91	116.44	120.88	60.71	156.48	148.98	157.45	92.53	148.74	31.33	37.96	107.92	114.56	174.82	107.36	105.5	25.73	72.75	156.27	138.05	10.93	67.4	-73.99	303.02	24.83	90.35	74.04	31.38	163.45	134.52	92.0	98.87	71.23	7.561	-57.99	-25.37	58.05	61.56	109.85	332.71	24.75	1525.2
0.032	2023-05-16 11:49:03	60.0	139.83	166.84	138.15	144.63	108.77	163.34	78.54	25.95	116.44	121.29	61.83	155.37	148.88	158.25	91.33	149.14	31.14	37.67	108.51	114.37	174.24	107.94	105.99	25.62	73.37	156.68	138.45	12.14	67.4	-75.58	302.73	24.85	90.14	74.24	30.36	162.84	134.12	92.4	99.38	71.63	7.263	-58.38	-23.69	57.75	59.99	109.16	333.68	24.7	1525.2
0.034	2023-05-16 11:49:03	60.0	140.24	167.45	137.75	144.12	109.07	162.25	76.86	25.93	115.93	121.19	61.93	156.79	150.2	157.45	91.73	149.44	31.73	36.87	108.71	114.17	173.65	107.84	105.79	25.83	72.04	156.68	137.44	11.14	66.8	-74.89	302.23	24.83	90.24	74.65	31.28	164.27	135.13	92.2	98.37	70.73	7.661	-56.4	-24.09	58.93	61.66	109.26	333.58	24.92	1525.2
0.036	2023-05-16 11:49:03	60.0	140.03	167.65	137.95	145.23	108.37	162.65	78.04	26.03	117.06	121.7	60.71	156.18	149.49	159.46	91.83	149.14	29.15	38.26	108.32	113.58	174.53	108.72	105.6	25.69	73.37	156.17	138.05	10.93	67.6	-74.89	302.14	24.93	90.24	74.96	30.97	163.86	134.82	94.21	99.08	71.43	7.263	-57.39	-23.89	56.57	60.58	110.63	333.58	24.71	1525.2
0.038	2023-05-16 11:49:03	60.0	139.62	167.75	138.25	145.03	109.16	162.25	78.34	26.02	116.24	120.37	61.93	156.58	149.09	157.95	92.33	149.24	31.43	37.37	109.7	113.58	173.06	107.45	105.21	25.73	73.37	157.08	138.65	11.14	66.8	-75.08	303.42	24.95	90.65	74.24	30.46	162.64	135.33	93.21	98.47	71.23	6.566	-57.79	-23.1	57.75	59.8	108.68	333.68	24.83	1525.2
0.04	2023-05-16 11:49:03	60.0	138.6	169.07	137.95	145.63	108.17	163.14	77.45	25.93	116.44	122.21	61.42	156.18	149.09	157.95	90.13	148.64	30.34	37.86	109.11	113.38	174.04	107.94	105.6	25.7	72.14	156.88	138.55	10.53	68.8	-74.98	302.53	24.85	90.14	75.26	29.95	163.76	135.53	93.21	99.58	70.43	6.865	-57.59	-24.48	57.75	61.37	109.85	333.88	24.73	1525.2
0.042	2023-05-16 11:49:03	60.0	140.44	168.36	137.95	145.83	109.76	162.84	78.24	25.91	116.44	121.29	61.22	157.19	149.99	158.65	91.53	149.44	31.43	37.07	109.4	114.76	175.61	107.94	104.82	25.73	72.14	157.59	138.05	12.14	67.8	-74.89	302.73	24.7	90.24	74.85	30.77	164.06	134.52	93.21	98.97	70.63	7.462	-57.39	-23.5	56.97	61.37	108.87	333.78	24.83	1525.2
0.044	2023-05-16 11:49:03	60.0	139.62	167.85	138.96	144.83	108.17	162.74	77.36	25.88	115.93	120.88	61.42	156.58	149.89	158.05	90.53	150.64	30.24	37.86	108.71	114.56	173.65	106.48	105.21	25.65	72.75	156.68	139.46	9.932	68.4	-74.89	303.22	24.8	90.24	74.65	31.17	163.86	133.41	92.81	98.57	72.13	7.064	-56.4	-24.29	57.75	60.48	108.29	332.32	24.75	1525.2
0.046	2023-05-16 11:49:03	60.0	138.8	168.26	137.45	144.43	110.06	162.94	78.83	25.93	116.65	120.27	61.32	155.97	150.4	158.65	91.93	149.04	30.54	37.47	109.11	114.07	174.24	107.36	104.43	25.83	72.75	157.59	137.85	10.33	67.1	-75.18	302.63	24.85	90.24	73.32	31.28	163.86	134.72	93.41	98.07	71.03	7.561	-56.2	-24.48	56.87	61.56	108.87	334.85	24.85	1525.2
0.048	2023-05-16 11:49:03	60.0	139.21	168.77	138.46	143.82	108.77	162.55	77.36	25.83	116.24	122.01	61.32	156.58	149.69	158.45	91.33	149.14	31.43	37.27	109.11	114.96	174.04	107.16	104.43	25.63	73.47	156.68	138.65	10.33	67.6	-74.49	302.63	24.7	90.04	74.75	30.77	163.66	135.33	92.81	98.87	72.13	6.566	-57.39	-24.58	57.75	61.27	108.87	333.68	24.78	1525.2
0.05	2023-05-16 11:49:03	60.0	139.42	168.46	138.25	143.82	109.07	162.15	77.75	25.96	116.44	121.5	61.22	156.58	149.19	158.05	92.33	148.54	31.73	37.86	108.32	114.66	173.45	108.53	105.79	25.7	73.47	157.9	137.95	10.93	66.8	-73.8	301.25	24.9	89.63	74.34	31.58	163.25	133.91	92.3	98.97	70.23	7.661	-57.0	-23.89	57.95	60.39	109.46	332.9	24.8	1525.2
0.052	2023-05-16 11:49:03	60.0	139.93	166.74	138.15	144.12	109.76	162.15	77.45	25.86	116.65	121.29	60.81	157.19	150.7	157.75	91.33	148.84	31.14	37.86	109.11	114.56	172.67	107.36	104.53	25.75	72.75	155.76	139.06	11.14	67.8	-74.98	303.81	24.78	90.76	74.24	30.77	163.45	134.72	92.4	97.67	71.43	6.865	-57.0	-23.69	57.75	60.78	109.75	332.9	24.78	1525.2
0.054	2023-05-16 11:49:03	60.0	140.03	168.46	138.46	146.13	109.66	162.45	78.24	25.88	116.65	121.09	62.03	155.47	149.39	158.25	91.83	148.54	30.74	37.67	109.5	113.97	174.04	108.14	104.82	25.73	72.75	156.58	139.06	11.84	67.2	-75.18	302.83	24.83	90.14	73.93	30.05	164.06	133.91	92.6	98.87	70.63	8.357	-57.79	-23.69	58.15	60.97	108.68	334.07	24.68	1525.2
