Time  1 - default sample rate [s]	FS22DI_1_NTP_TIME [s]	FS22DI_1_DIAG_SEQ_NUMBER []	A1 [nm]	A2 [nm]	A3 [nm]	A4 [nm]	A5 [nm]	A6 [nm]	A7 [nm]	AT [°C]	B1 [nm]	B2 [nm]	B3 [nm]	B4 [nm]	B5 [nm]	B6 [nm]	B7 [nm]	B8 [nm]	B9 [nm]	B10 [nm]	B11 [nm]	B12 [nm]	B13 [nm]	B14 [nm]	B15 [nm]	BT [°C]	D1 [nm]	D2 [nm]	D3 [nm]	D4 [nm]	D5 [nm]	D6 [nm]	D7 [nm]	DT [°C]	E1 [nm]	E2 [nm]	E3 [nm]	E4 [nm]	E5 [nm]	E6 [nm]	E7 [nm]	E8 [nm]	E9 [nm]	E10 [nm]	E11 [nm]	E12 [nm]	E13 [nm]	E14 [nm]	E15 [nm]	ET [°C]	TempArmário [nm]
0,02400	1684237743	60,00	140,44	168,06	138,15	145,43	107,77	162,94	77,45	25,91	117,06	121,29	60,81	155,97	148,98	157,65	91,43	149,64	30,04	38,16	109,30	113,88	175,22	107,94	104,63	25,68	72,75	157,90	138,55	10,53	67,80	-75,38	301,84	24,80	90,24	74,24	31,48	163,05	135,13	92,60	98,97	71,03	7,661	-57,20	-22,90	57,16	61,07	109,26	334,65	24,78	1525,2	
0,02600	1684237743	60,00	139,62	167,65	138,76	145,03	109,16	162,74	77,75	25,93	116,65	121,09	61,83	156,79	149,39	158,45	92,53	149,04	31,33	37,67	109,50	113,29	174,53	107,36	106,09	25,65	72,75	156,68	138,45	11,14	68,40	-75,78	303,02	24,88	90,14	74,34	29,75	163,05	134,52	93,61	98,37	71,63	7,064	-57,39	-23,50	57,56	59,99	109,07	334,26	24,68	1525,2	
0,02800	1684237743	60,00	139,52	168,46	137,75	144,53	108,17	162,15	77,26	25,96	117,47	120,68	61,32	156,79	149,79	157,95	91,73	148,84	32,03	38,26	108,12	113,97	174,04	108,14	105,11	25,52	73,37	156,58	137,44	10,93	67,40	-74,79	302,63	24,87	90,55	73,63	30,77	163,05	135,53	93,71	98,17	70,83	6,865	-57,00	-24,78	58,15	60,58	108,68	334,75	24,60	1525,2	
0,03000	1684237743	60,00	139,62	167,24	137,55	144,12	109,16	162,55	77,75	25,91	116,44	120,88	60,71	156,48	148,98	157,45	92,53	148,74	31,33	37,96	107,92	114,56	174,82	107,36	105,50	25,73	72,75	156,27	138,05	10,93	67,40	-73,99	303,02	24,83	90,35	74,04	31,38	163,45	134,52	92,00	98,87	71,23	7,561	-57,99	-25,37	58,05	61,56	109,85	332,71	24,75	1525,2	
0,03200	1684237743	60,00	139,83	166,84	138,15	144,63	108,77	163,34	78,54	25,95	116,44	121,29	61,83	155,37	148,88	158,25	91,33	149,14	31,14	37,67	108,51	114,37	174,24	107,94	105,99	25,62	73,37	156,68	138,45	12,14	67,40	-75,58	302,73	24,85	90,14	74,24	30,36	162,84	134,12	92,40	99,38	71,63	7,263	-58,38	-23,69	57,75	59,99	109,16	333,68	24,70	1525,2	
0,03400	1684237743	60,00	140,24	167,45	137,75	144,12	109,07	162,25	76,86	25,93	115,93	121,19	61,93	156,79	150,20	157,45	91,73	149,44	31,73	36,87	108,71	114,17	173,65	107,84	105,79	25,83	72,04	156,68	137,44	11,14	66,80	-74,89	302,23	24,83	90,24	74,65	31,28	164,27	135,13	92,20	98,37	70,73	7,661	-56,40	-24,09	58,93	61,66	109,26	333,58	24,92	1525,2	
0,03600	1684237743	60,00	140,03	167,65	137,95	145,23	108,37	162,65	78,04	26,03	117,06	121,70	60,71	156,18	149,49	159,46	91,83	149,14	29,15	38,26	108,32	113,58	174,53	108,72	105,60	25,69	73,37	156,17	138,05	10,93	67,60	-74,89	302,14	24,93	90,24	74,96	30,97	163,86	134,82	94,21	99,08	71,43	7,263	-57,39	-23,89	56,57	60,58	110,63	333,58	24,71	1525,2	
0,03800	1684237743	60,00	139,62	167,75	138,25	145,03	109,16	162,25	78,34	26,02	116,24	120,37	61,93	156,58	149,09	157,95	92,33	149,24	31,43	37,37	109,70	113,58	173,06	107,45	105,21	25,73	73,37	157,08	138,65	11,14	66,80	-75,08	303,42	24,95	90,65	74,24	30,46	162,64	135,33	93,21	98,47	71,23	6,566	-57,79	-23,10	57,75	59,80	108,68	333,68	24,83	1525,2	
0,04000	1684237743	60,00	138,60	169,07	137,95	145,63	108,17	163,14	77,45	25,93	116,44	122,21	61,42	156,18	149,09	157,95	90,13	148,64	30,34	37,86	109,11	113,38	174,04	107,94	105,60	25,70	72,14	156,88	138,55	10,53	68,80	-74,98	302,53	24,85	90,14	75,26	29,95	163,76	135,53	93,21	99,58	70,43	6,865	-57,59	-24,48	57,75	61,37	109,85	333,88	24,73	1525,2	
0,04200	1684237743	60,00	140,44	168,36	137,95	145,83	109,76	162,84	78,24	25,91	116,44	121,29	61,22	157,19	149,99	158,65	91,53	149,44	31,43	37,07	109,40	114,76	175,61	107,94	104,82	25,73	72,14	157,59	138,05	12,14	67,80	-74,89	302,73	24,70	90,24	74,85	30,77	164,06	134,52	93,21	98,97	70,63	7,462	-57,39	-23,50	56,97	61,37	108,87	333,78	24,83	1525,2	
