Time  1 - default sample rate [s]	FS22DI_1_NTP_TIME [s]	FS22DI_1_DIAG_SEQ_NUMBER []	A1 [nm]	A2 [nm]	A3 [nm]	A4 [nm]	A5 [nm]	A6 [nm]	A7 [nm]	AT [°C]	B1 [nm]	B2 [nm]	B3 [nm]	B4 [nm]	B5 [nm]	B6 [nm]	B7 [nm]	B8 [nm]	B9 [nm]	B10 [nm]	B11 [nm]	B12 [nm]	B13 [nm]	B14 [nm]	B15 [nm]	BT [°C]	D1 [nm]	D2 [nm]	D3 [nm]	D4 [nm]	D5 [nm]	D6 [nm]	D7 [nm]	DT [°C]	E1 [nm]	E2 [nm]	E3 [nm]	E4 [nm]	E5 [nm]	E6 [nm]	E7 [nm]	E8 [nm]	E9 [nm]	E10 [nm]	E11 [nm]	E12 [nm]	E13 [nm]	E14 [nm]	E15 [nm]	ET [°C]	TempArmário [nm]
0,2740	1684237744	160,00	139,62	168,46	138,86	145,23	109,36	162,65	77,45	26,01	116,65	121,19	61,42	156,18	149,39	157,75	92,33	149,74	31,43	37,67	109,50	114,17	175,02	108,53	105,11	25,60	72,85	157,80	138,55	10,33	69,10	-73,99	301,94	24,89	90,76	75,26	31,99	162,44	134,52	93,01	99,08	71,43	7,064	-56,80	-24,29	57,75	60,78	110,43	334,26	24,70	1525,2	
0,2760	1684237744	160,00	139,83	168,06	137,95	145,23	109,76	163,93	78,63	25,88	116,96	120,68	60,81	156,68	150,10	158,45	92,73	149,84	30,54	37,27	109,40	113,58	174,73	107,75	104,92	25,73	73,37	156,88	138,45	10,93	66,21	-74,19	302,83	24,83	91,06	74,34	32,19	164,87	135,33	93,01	99,48	71,93	7,362	-56,80	-22,90	57,36	60,58	108,97	334,07	24,80	1525,2	
0,2780	1684237744	160,00	140,44	167,65	138,66	145,83	109,76	163,34	77,75	25,96	116,03	121,60	61,42	156,08	149,79	157,45	90,93	148,84	31,14	38,16	109,30	114,96	175,02	107,16	105,11	25,67	72,75	156,68	138,45	10,33	67,00	-74,98	302,63	24,90	89,11	74,04	30,56	163,15	135,13	92,81	99,08	72,03	6,268	-58,38	-24,68	58,15	60,39	109,26	333,29	24,70	1525,2	
0,2800	1684237744	160,00	139,42	167,45	138,46	144,53	109,56	163,14	77,85	25,96	116,13	120,88	61,32	155,37	149,09	159,16	92,63	148,84	31,14	37,27	109,90	114,56	175,41	108,14	106,77	25,60	72,14	155,66	138,65	10,53	66,80	-75,18	303,32	24,83	90,55	74,34	30,97	164,16	134,32	93,21	98,97	71,93	8,258	-57,00	-22,71	58,15	62,35	108,48	333,39	24,70	1525,2	
0,2820	1684237744	160,00	139,83	168,16	138,25	145,23	109,16	162,35	78,24	25,82	116,65	121,19	61,42	156,58	149,09	157,45	90,93	148,04	31,14	37,77	109,11	113,78	173,84	106,77	104,43	25,80	72,75	156,68	138,45	10,33	67,60	-75,18	302,83	24,73	90,35	74,65	31,48	163,05	134,72	92,30	97,67	71,03	7,263	-57,59	-23,69	57,56	61,17	109,07	334,46	24,97	1525,2	
0,2840	1684237744	160,00	139,42	168,46	138,76	144,43	108,17	161,95	78,24	25,96	116,34	120,47	61,42	155,97	148,88	157,85	91,53	149,34	30,54	37,47	109,30	113,78	174,24	109,01	105,99	25,65	73,37	157,90	139,16	9,932	67,70	-74,89	302,83	24,87	89,93	73,93	30,15	163,25	135,33	92,20	97,87	71,13	7,064	-56,60	-22,71	58,74	59,80	109,65	333,49	24,75	1525,2	
0,2860	1684237744	160,00	140,03	167,65	138,76	145,33	108,97	163,14	77,65	25,98	116,96	121,60	61,22	156,18	149,39	157,85	91,93	147,84	31,14	36,87	108,61	113,48	174,04	107,45	105,02	25,73	73,37	156,88	138,55	11,54	68,00	-74,59	301,64	24,80	90,45	74,24	30,15	163,86	134,52	93,41	99,48	71,23	6,765	-56,60	-23,99	57,36	60,39	108,68	334,26	24,83	1525,2	
0,2880	1684237744	160,00	139,83	169,07	138,15	144,73	109,26	163,54	77,36	26,12	115,00	120,88	60,81	157,40	150,10	158,65	91,13	147,84	30,84	37,47	109,50	112,79	172,86	107,36	105,89	25,80	73,37	157,29	137,44	11,14	68,00	-74,79	302,83	25,05	90,14	74,04	29,75	163,25	134,72	92,81	97,47	70,23	7,561	-57,00	-23,50	56,87	59,99	109,26	332,90	24,83	1525,2	
0,2900	1684237744	160,00	139,62	168,46	137,95	145,43	109,26	162,74	78,24	25,82	116,85	122,11	60,81	157,29	150,10	157,85	90,33	150,04	30,14	36,68	109,11	113,88	174,24	107,36	104,43	25,68	72,14	157,49	137,95	9,631	66,80	-75,08	302,04	24,73	89,93	75,26	30,36	163,66	135,33	93,41	98,87	71,03	7,064	-57,39	-23,10	56,57	60,58	108,48	334,85	24,70	1525,2	
0,2920	1684237744	160,00	139,83	168,87	138,36	143,62	109,76	162,55	77,75	25,96	116,85	121,60	60,81	155,57	150,40	158,65	91,83	149,44	31,33	37,96	109,11	114,17	173,75	109,31	105,79	25,73	72,75	157,90	138,55	10,93	67,80	-73,89	303,61	24,80	90,55	74,04	30,97	162,84	134,72	92,50	98,47	71,03	7,263	-57,20	-23,50	58,15	61,56	109,07	333,88	24,75	1525,2	
0,2940	1684237744	160,00	140,03	167,14	137,95	144,63	108,97	162,84	77,26	26,03	116,13	121,60	61,42	155,37	149,89	158,45	91,13	149,04	31,24	37,86	108,61	113,38	175,22	106,77	105,11	25,58	73,26	156,68	138,45	11,14	67,60	-75,08	303,02	24,93	90,55	74,85	30,46	162,74	134,12	93,01	98,77	71,43	6,865	-58,19	-24,58	57,56	61,07	110,43	334,07	24,68	1525,2	
0,2960	1684237744	160,00	139,62	167,65	137,55	145,03	108,77	163,34	77,65	25,88	116,24	121,29	62,64	155,57	149,99	156,84	92,33	148,44	31,43	37,47	109,30	113,78	173,65	107,16	106,47	25,69	73,37	155,97	137,44	10,93	67,20	-74,29	302,43	24,80	90,45	73,63	30,46	163,25	134,32	92,81	99,38	71,63	7,462	-56,01	-23,69	57,56	60,78	108,68	333,10	24,78	1525,2	
0,2980	1684237744	160,00	139,83	168,67	137,35	145,03	107,97	161,16	77,36	25,88	116,44	120,88	61,42	156,18	149,49	156,54	91,83	149,44	29,54	38,36	109,50	114,17	174,24	108,14	105,02	25,68	73,37	156,88	137,44	10,53	68,60	-74,98	302,73	24,83	90,24	74,65	30,66	162,84	134,12	92,40	99,38	70,83	6,865	-57,00	-22,90	58,74	60,48	108,87	334,46	24,70	1525,2	
0,3000	1684237744	160,00	139,42	168,06	137,75	144,53	108,97	162,65	77,85	25,88	117,26	120,88	60,81	156,58	149,09	157,65	92,13	148,74	31,14	37,47	108,71	113,97	174,24	108,72	104,24	25,70	73,37	156,88	138,55	10,33	67,60	-73,80	302,83	24,73	91,58	74,34	31,17	164,06	134,72	92,40	98,67	71,43	8,059	-56,20	-23,69	57,75	60,48	109,85	334,26	24,73	1525,2	
0,3020	1684237744	160,00	140,03	167,65	137,95	145,03	108,17	162,55	77,55	25,96	116,85	121,90	61,42	156,08	149,09	157,04	90,73	149,04	31,14	37,77	109,11	114,56	173,84	106,97	104,92	25,75	72,14	155,97	137,44	10,53	67,40	-75,08	301,84	24,79	89,93	75,26	31,28	162,54	135,53	92,10	99,28	71,43	7,064	-56,60	-22,80	57,56	59,50	109,36	333,97	24,78	1525,2	
0,3040	1684237744	160,00	139,62	167,65	138,66	145,23	108,97	163,74	78,24	25,91	116,03	121,50	62,03	156,18	148,98	158,65	92,33	148,44	30,54	37,77	109,30	114,17	173,26	107,75	106,38	25,73	72,75	156,88	139,16	9,932	67,10	-74,98	302,23	24,80	90,45	74,55	31,38	163,25	134,52	92,81	98,77	71,63	6,865	-56,40	-22,71	57,16	59,70	109,85	333,29	24,80	1525,2	
0,3060	1684237744	210,00	139,62	167,04	138,56	145,43	109,16	162,15	77,65	25,98	116,85	120,68	61,42	155,97	150,10	157,24	91,73	149,44	31,14	37,86	109,11	113,58	175,02	107,06	104,14	25,60	72,14	157,59	139,06	10,53	66,60	-74,39	302,53	24,85	90,55	74,85	31,99	163,25	135,33	91,80	98,27	70,83	7,561	-57,00	-24,29	57,46	61,56	108,48	334,46	24,70	1525,2	
0,3080	1684237744	210,00	139,21	167,85	138,25	144,63	108,77	162,74	77,55	25,91	117,26	122,11	60,71	156,58	149,59	157,85	93,33	149,94	31,53	37,96	108,91	113,58	174,04	108,23	105,89	25,65	72,14	156,88	137,95	11,74	68,60	-74,19	302,73	24,88	90,55	74,34	30,77	163,55	134,62	93,01	97,67	71,43	8,059	-57,00	-24,29	57,46	59,60	108,58	334,07	24,75	1525,2	
0,3100	1684237744	210,00	139,72	167,75	138,56	144,63	109,26	162,94	78,34	25,86	117,98	120,06	61,42	156,18	149,19	157,75	91,33	149,44	31,43	38,26	109,50	113,58	173,45	106,58	105,40	25,75	72,14	155,66	138,45	10,93	66,80	-74,98	302,73	24,72	90,76	73,01	32,19	163,15	135,13	91,80	99,48	71,03	7,263	-57,59	-23,69	57,36	60,19	109,65	333,10	24,85	1525,2	
0,3120	1684237744	210,00	140,03	167,85	138,66	144,73	107,57	161,36	78,83	25,96	116,85	121,29	61,22	156,58	149,59	157,75	91,73	149,14	30,54	38,36	109,11	114,17	174,24	107,94	104,63	25,75	73,37	156,68	139,06	11,14	68,60	-75,58	302,63	24,87	90,55	73,63	30,15	163,25	134,62	92,40	98,87	71,43	7,462	-56,80	-23,10	59,13	60,39	108,87	333,97	24,78	1525,2	
0,3140	1684237744	210,00	139,42	169,18	137,35	145,23	109,26	162,55	77,45	26,01	116,44	121,19	60,60	155,67	150,40	157,04	92,03	150,04	31,53	38,16	109,70	113,38	174,24	108,23	104,43	25,57	73,37	157,19	137,95	11,54	67,40	-75,48	303,02	24,93	89,42	74,65	30,66	164,16	134,92	91,70	98,47	71,43	7,959	-57,39	-23,69	57,75	60,58	109,16	334,26	24,65	1525,2	
0,3160	1684237744	210,00	139,21	168,16	138,15	145,43	108,57	163,54	78,24	26,03	116,96	120,98	60,81	155,37	149,59	158,65	92,13	149,14	31,14	37,47	108,81	113,19	174,24	107,36	104,92	25,58	72,75	157,29	137,85	11,84	66,51	-74,98	302,92	24,87	90,45	73,63	30,77	161,63	135,13	92,20	99,48	71,33	7,462	-57,79	-23,50	57,16	61,07	109,75	334,07	24,68	1525,2	
0,3180	1684237744	210,00	140,34	166,84	137,75	145,43	109,36	162,15	78,04	25,96	116,85	122,21	62,54	156,18	148,88	157,24	92,13	149,84	31,43	37,86	109,70	113,19	173,26	108,53	105,21	25,73	73,98	155,66	137,95	11,54	66,51	-75,18	302,73	24,88	89,93	74,65	30,46	162,54	135,33	91,80	98,47	72,03	7,064	-57,59	-23,20	57,56	60,68	109,65	333,68	24,83	1525,2	
0,3200	1684237744	210,00	139,83	166,84	138,15	145,23	109,36	162,55	76,86	26,03	115,93	122,11	61,93	156,08	148,78	157,04	92,33	150,64	30,54	37,96	109,11	114,27	174,53	107,84	105,31	25,78	73,37	156,68	137,85	10,53	68,00	-74,59	302,23	24,93	89,93	75,06	30,15	163,05	134,52	91,70	97,07	71,03	8,357	-57,39	-23,10	58,44	60,97	107,80	333,68	24,86	1525,2	
0,3220	1684237744	210,00	140,24	167,75	138,76	145,03	108,37	162,94	77,45	25,91	116,24	121,50	61,32	155,97	148,78	157,85	90,53	149,44	30,54	37,07	109,90	113,97	173,84	107,36	106,47	25,68	72,14	157,08	139,06	11,14	68,30	-75,58	303,81	24,80	90,35	74,65	30,97	162,64	135,02	93,01	100,28	71,63	6,467	-57,79	-23,69	57,75	59,90	109,46	332,32	24,70	1525,2	
0,3240	1684237744	210,00	139,42	168,06	138,76	144,02	108,77	162,15	78,44	25,81	117,57	120,68	61,32	156,18	149,89	158,45	91,53	148,84	31,14	38,06	109,30	113,97	174,24	108,43	104,14	25,65	73,37	156,47	138,96	9,932	68,10	-74,98	302,73	24,83	90,65	74,34	30,97	163,86	134,62	93,41	97,67	71,43	7,661	-58,19	-23,69	57,56	60,78	108,68	333,88	24,75	1525,2	
0,3260	1684237744	210,00	140,03	168,67	138,15	146,23	109,76	163,14	77,85	25,83	116,44	121,60	61,93	155,57	149,99	157,35	90,13	149,04	30,74	37,47	108,71	114,17	173,45	107,36	104,63	25,68	72,75	156,88	138,45	9,932	66,80	-74,79	302,83	24,78	90,14	74,04	30,77	162,54	135,83	93,21	98,67	71,23	6,666	-57,59	-24,48	58,25	60,19	107,89	334,07	24,83	1525,2	
0,3280	1684237744	210,00	140,03	168,06	138,46	145,63	108,97	162,45	77,75	26,06	116,65	121,90	61,93	155,67	149,39	158,05	91,73	148,84	29,74	38,06	108,81	112,70	174,53	107,94	106,38	25,71	72,75	156,27	138,65	10,93	67,20	-73,99	302,83	24,98	90,76	74,85	30,56	164,37	135,53	92,00	98,07	70,83	7,362	-56,40	-23,50	56,97	60,19	108,68	332,12	24,80	1525,2	
0,3300	1684237744	210,00	140,03	168,46	137,95	145,83	108,17	161,85	77,75	25,81	116,24	122,52	60,81	156,18	149,79	158,05	90,53	148,44	31,73	37,86	110,49	113,48	173,45	106,77	104,82	25,70	72,14	157,29	139,06	10,53	66,80	-75,38	302,43	24,78	89,42	75,26	31,48	163,05	135,13	92,81	99,28	70,33	7,163	-57,20	-22,90	56,77	60,29	109,36	333,19	24,73	1525,2	
0,3320	1684237744	210,00	138,80	167,35	137,75	144,53	108,77	162,35	77,26	25,82	117,06	122,52	62,03	156,08	148,68	158,05	91,33	148,84	30,74	38,26	108,51	113,97	174,73	107,94	105,40	25,70	72,75	156,98	138,65	10,93	67,00	-74,79	302,43	24,73	90,24	75,98	30,97	163,86	135,53	92,81	98,37	71,03	7,064	-57,59	-23,10	56,97	62,15	108,48	333,49	24,73	1525,2	
0,3340	1684237744	210,00	139,62	168,06	138,15	143,82	109,26	162,94	77,75	25,88	117,57	121,70	61,32	156,08	148,88	158,05	92,33	149,44	30,34	37,86	108,91	114,66	175,41	107,16	104,82	25,80	72,75	156,88	137,85	10,93	67,10	-75,48	302,73	24,83	90,65	75,57	30,36	164,06	134,72	93,21	99,38	71,83	7,163	-57,39	-23,69	57,95	61,46	108,97	333,78	24,83	1525,2	
0,3360	1684237744	210,00	138,60	168,26	138,25	145,03	109,07	162,84	78,04	25,91	116,44	121,90	60,81	155,57	150,20	157,45	91,93	148,24	32,33	38,06	108,71	113,58	173,75	107,94	104,63	25,63	72,85	157,59	138,65	11,14	67,10	-73,40	302,23	24,80	90,35	75,26	32,09	163,55	135,13	92,00	98,47	71,43	7,163	-57,59	-24,09	57,95	60,19	109,16	334,36	24,58	1525,2	
0,3380	1684237744	210,00	139,42	168,26	137,75	145,43	108,97	163,14	77,06	26,00	116,44	120,88	61,22	156,58	149,99	158,65	91,73	150,64	30,54	38,06	109,11	114,17	173,45	106,77	105,11	25,79	72,14	156,88	138,05	9,932	69,40	-74,79	301,84	24,90	89,93	74,24	29,85	163,55	134,92	93,21	98,47	71,23	7,163	-57,39	-23,40	58,15	59,60	109,26	333,68	24,80	1525,2	
0,3400	1684237744	210,00	139,31	167,14	138,25	145,23	108,77	162,45	78,44	26,03	117,06	120,58	60,81	156,79	149,59	157,55	91,53	148,44	32,03	37,67	108,91	114,17	173,65	107,16	106,18	25,69	73,37	156,68	137,85	11,14	68,80	-74,98	302,92	24,87	89,93	74,04	30,77	163,05	135,23	92,30	98,97	70,43	7,661	-56,80	-23,30	57,36	60,19	109,95	332,90	24,78	1525,2	
0,3420	1684237744	210,00	139,83	167,85	138,76	144,73	109,76	161,36	78,04	25,86	117,67	120,68	61,93	155,16	150,10	158,45	91,63	148,84	30,74	38,06	109,50	113,38	173,75	108,43	105,89	25,58	72,75	156,88	139,06	10,93	68,00	-73,70	303,81	24,75	91,17	74,85	30,36	162,44	134,72	93,41	99,38	72,13	7,064	-58,19	-22,90	57,95	60,58	108,87	333,97	24,68	1525,2	
0,3440	1684237744	210,00	139,21	168,67	137,75	145,63	109,76	162,74	77,65	25,93	117,16	120,98	62,03	155,97	150,40	158,45	90,93	148,44	30,94	37,07	109,30	113,97	174,53	107,36	104,82	25,63	73,98	157,49	137,95	11,24	67,80	-76,07	301,84	24,83	90,14	73,63	32,19	163,86	134,72	92,40	99,98	70,23	7,462	-57,39	-22,71	57,36	60,19	109,07	333,97	24,73	1525,2	
0,3460	1684237744	210,00	139,83	168,67	138,15	144,12	109,76	162,65	76,86	25,91	116,24	121,29	61,32	156,18	149,49	156,84	91,83	149,44	29,94	37,27	109,50	114,17	174,24	107,45	104,82	25,78	72,04	157,49	137,95	10,33	67,60	-74,49	303,32	24,75	91,37	73,63	30,97	163,25	134,72	92,81	97,07	71,83	7,760	-57,59	-23,89	58,25	59,99	108,68	334,26	24,80	1525,2	
0,3480	1684237744	210,00	139,01	167,75	138,96	145,43	109,86	162,55	78,04	25,85	116,65	120,58	61,83	157,29	150,10	158,65	92,03	149,44	31,24	37,77	109,11	114,56	174,43	107,94	104,53	25,73	72,75	156,27	138,55	11,84	67,80	-74,69	303,22	24,73	89,63	74,04	31,28	163,66	135,33	92,60	98,67	72,13	8,158	-56,40	-25,08	58,34	60,48	109,26	334,07	24,68	1525,2	
0,3500	1684237744	210,00	139,21	168,67	138,36	145,03	109,76	162,55	77,55	25,98	116,34	121,50	60,81	156,18	149,49	158,25	91,73	148,84	31,73	37,47	109,11	113,29	174,63	106,77	106,18	25,73	72,14	157,49	137,95	11,14	67,60	-73,89	302,73	24,88	89,93	74,65	31,17	165,28	133,61	93,21	98,47	71,23	7,462	-56,30	-24,48	58,74	59,99	109,55	332,90	24,75	1525,2	
0,3520	1684237744	210,00	139,42	167,85	137,75	143,82	108,77	162,15	77,65	26,00	117,26	121,70	62,03	156,79	150,20	157,04	93,13	147,34	29,64	37,47	108,51	114,17	174,24	107,55	104,24	25,79	72,14	157,90	137,95	10,33	67,70	-74,59	301,64	24,90	90,24	74,96	30,56	163,66	134,22	92,00	97,47	71,23	6,467	-57,79	-24,29	57,16	59,99	109,07	334,07	24,81	1525,2	
0,3540	1684237744	210,00	139,62	168,06	137,35	144,02	108,37	163,93	77,26	25,90	116,03	120,58	61,22	155,97	149,39	158,86	92,33	149,14	31,24	38,26	109,90	114,56	174,24	107,16	104,82	25,73	73,37	157,29	137,85	11,14	67,40	-75,38	302,63	24,84	90,76	74,04	31,17	163,05	135,13	92,40	98,17	71,43	7,462	-56,01	-22,51	57,36	61,66	108,48	333,10	24,68	1525,2	
0,3560	1684237744	210,00	139,52	168,06	138,76	145,83	109,76	163,14	76,96	25,88	117,67	120,37	61,32	157,09	149,89	157,24	91,83	148,54	31,73	38,06	108,51	113,48	175,02	106,77	104,63	25,79	72,14	157,29	139,77	10,93	67,40	-74,98	301,74	24,80	91,17	74,24	31,17	162,13	134,62	92,20	98,37	70,63	7,760	-57,00	-23,69	58,34	60,68	109,75	333,68	24,81	1525,2	
0,3580	1684237744	210,00	139,21	167,75	137,95	144,53	109,36	163,74	76,27	25,91	116,24	121,50	60,20	156,68	149,39	158,86	92,23	149,14	30,74	37,47	109,40	114,66	174,53	106,87	104,63	25,73	72,75	156,27	138,45	10,53	67,20	-74,29	302,83	24,90	90,65	75,06	31,58	162,64	135,13	93,01	99,48	70,83	7,064	-57,59	-23,99	57,46	60,39	109,16	333,88	24,75	1525,2	
0,3600	1684237744	210,00	139,62	168,26	137,45	145,03	108,77	162,35	78,04	25,81	116,96	121,50	60,81	156,79	148,98	156,84	92,63	149,84	29,94	37,86	108,91	113,09	174,82	106,97	104,82	25,60	72,75	156,27	138,55	10,53	66,60	-75,38	302,92	24,75	90,45	75,26	30,36	163,45	135,93	92,20	98,47	71,43	7,462	-57,00	-24,48	58,54	59,50	109,16	334,36	24,63	1525,2	
0,3620	1684237744	210,00	139,72	168,06	137,55	145,23	108,67	161,75	76,67	25,86	117,06	120,47	60,81	157,19	150,10	157,85	90,33	149,14	31,73	38,46	108,12	114,17	174,24	107,75	104,43	25,81	73,98	156,68	137,85	9,932	68,40	-75,18	303,22	24,82	91,06	73,32	30,97	162,84	135,33	93,41	99,38	71,93	7,163	-56,60	-24,09	58,25	61,76	109,46	334,07	24,90	1525,2	
0,3640	1684237744	210,00	140,03	168,36	138,76	145,23	107,77	163,54	78,24	25,93	116,44	122,01	61,93	155,97	149,49	159,16	91,33	149,64	31,53	38,26	109,70	113,97	173,65	108,14	105,40	25,67	72,75	157,59	138,45	10,33	67,20	-75,18	302,23	24,83	90,14	74,96	30,56	164,06	134,82	94,32	98,87	70,63	6,865	-57,59	-23,00	58,25	60,58	108,87	334,26	24,75	1525,2	
0,3660	1684237744	210,00	139,42	167,14	137,75	145,23	108,17	162,74	78,24	25,96	117,37	122,11	61,32	156,79	149,39	157,75	91,53	148,84	29,94	37,67	109,30	113,48	174,04	107,84	105,21	25,52	73,37	157,29	138,45	11,14	67,60	-75,18	302,83	24,93	90,45	74,34	30,77	163,45	135,83	93,01	99,48	71,43	6,666	-57,59	-22,71	57,46	61,37	109,46	333,88	24,60	1525,2	
0,3680	1684237744	210,00	139,83	168,06	137,35	145,03	109,26	162,94	77,75	25,86	116,65	121,60	61,32	156,58	148,98	157,65	91,13	148,44	31,14	37,86	109,50	113,78	174,53	107,06	106,18	25,75	72,75	156,68	137,85	11,14	67,40	-74,98	302,63	24,83	90,86	74,65	30,77	164,06	135,13	92,60	99,48	71,43	7,362	-57,59	-24,29	57,16	59,60	108,68	333,78	24,78	1525,2	
0,3700	1684237744	210,00	139,62	167,04	138,15	145,03	109,07	162,94	77,36	25,96	117,26	120,58	60,60	156,18	149,89	158,86	90,53	150,04	30,74	37,47	109,90	112,99	174,53	107,84	105,40	25,59	72,75	156,68	138,45	9,330	67,10	-74,19	301,84	24,87	90,96	74,04	31,17	163,25	135,33	93,31	98,37	71,93	6,865	-56,60	-23,10	58,74	61,37	109,07	334,36	24,55	1525,2	
0,3720	1684237744	210,00	139,93	168,06	138,46	145,43	108,77	161,56	78,04	26,05	116,44	121,09	62,54	155,57	150,20	157,45	91,53	148,74	31,43	37,96	110,19	114,17	174,04	109,31	104,04	25,60	72,75	156,27	139,26	10,53	67,50	-75,38	303,22	24,88	91,06	74,34	30,97	162,64	134,22	92,81	99,48	71,63	6,865	-57,99	-22,71	57,85	61,46	109,65	333,88	24,63	1525,2	
0,3740	1684237744	210,00	139,62	168,06	137,95	145,03	109,46	162,94	77,65	25,95	116,24	121,39	60,60	156,18	150,50	158,45	92,33	149,74	31,14	37,86	109,70	113,29	174,04	107,16	105,99	25,65	72,75	156,47	137,95	10,53	67,20	-74,29	302,04	24,90	90,45	74,96	30,46	163,86	134,12	93,41	97,47	70,83	6,865	-57,00	-23,69	58,05	61,66	109,07	333,58	24,75	1525,2	
0,3760	1684237744	210,00	139,21	168,26	138,76	144,12	109,16	162,65	78,63	25,96	117,37	119,96	60,81	156,58	148,78	157,75	91,13	149,04	29,94	38,06	108,91	114,17	173,26	105,99	104,63	25,70	73,47	157,19	139,06	11,14	67,50	-73,89	302,43	24,83	90,14	73,42	30,36	164,47	134,52	93,61	98,77	71,43	6,666	-57,59	-24,68	56,57	59,80	108,97	334,65	24,80	1525,2	
0,3780	1684237744	210,00	139,21	168,67	139,37	144,02	109,16	162,55	78,04	25,90	116,65	121,70	60,20	155,97	150,40	158,96	91,13	148,74	32,73	37,37	107,53	114,66	173,45	107,84	105,60	25,73	72,75	156,98	138,45	9,932	68,40	-75,18	302,92	24,77	90,24	74,96	31,17	164,16	134,72	93,01	98,17	71,83	7,661	-56,20	-24,68	58,54	60,97	109,07	333,49	24,83	1525,2	
0,3800	1684237744	210,00	140,03	168,46	137,75	145,63	109,16	163,14	78,24	25,91	116,65	121,70	61,32	156,18	150,20	157,65	92,23	149,64	30,94	37,86	107,72	114,17	173,65	109,60	106,38	25,73	72,75	156,68	138,05	11,54	66,80	-74,79	302,23	24,85	90,14	74,34	32,09	163,25	134,22	92,60	99,28	70,43	7,462	-57,99	-24,78	57,75	60,48	108,48	332,71	24,75	1525,2	
0,3820	1684237744	210,00	139,62	167,75	138,15	143,92	109,16	162,74	77,65	26,07	115,83	120,68	61,83	155,57	149,89	158,05	91,93	148,84	30,34	37,86	109,30	114,17	174,04	108,43	105,79	25,60	72,75	156,47	137,85	12,34	67,40	-75,58	302,73	24,88	90,35	74,96	29,75	162,84	135,33	92,81	98,47	72,03	7,860	-57,79	-22,90	57,95	61,17	108,68	334,46	24,63	1525,2	
0,3840	1684237744	210,00	139,83	168,06	138,76	145,23	108,67	162,35	77,65	25,96	116,44	122,01	62,44	156,38	149,69	158,15	92,73	148,84	31,43	37,86	109,11	113,97	173,75	107,75	106,38	25,73	72,14	157,19	138,65	9,631	67,00	-75,48	303,22	24,88	90,35	74,75	29,03	163,25	134,12	93,51	98,87	71,83	7,661	-57,00	-22,80	57,56	60,48	108,68	333,49	24,83	1525,2	
0,3860	1684237744	210,00	140,24	167,35	138,15	145,23	108,77	162,94	77,06	25,86	117,37	120,88	62,03	157,80	149,39	158,45	92,03	150,64	31,14	37,27	109,50	114,17	174,53	107,36	106,38	25,75	73,37	156,98	138,55	10,33	67,40	-74,98	302,73	24,75	91,37	74,04	31,99	163,25	135,13	93,01	97,67	71,63	7,462	-56,80	-23,69	58,15	60,19	109,85	332,12	24,83	1525,2	
0,3880	1684237744	210,00	139,52	168,26	138,15	144,53	108,57	162,45	78,04	25,96	116,24	121,50	61,32	155,57	149,89	158,45	92,13	148,64	31,14	37,67	108,71	114,17	174,53	107,94	105,89	25,65	72,85	156,88	138,45	10,33	66,90	-73,99	301,64	24,93	89,73	74,44	31,38	162,24	134,12	92,40	98,07	70,83	7,263	-57,10	-24,88	57,16	61,17	109,75	334,26	24,83	1525,2	
0,3900	1684237744	210,00	139,11	168,87	138,76	145,03	110,36	162,65	76,67	25,92	116,65	121,50	60,10	157,40	150,10	157,85	92,33	148,74	30,54	37,86	109,70	113,58	173,45	107,45	105,40	25,65	73,47	157,59	138,55	12,14	68,00	-74,39	301,84	24,84	90,14	74,34	31,58	164,27	135,93	92,20	98,07	71,63	7,760	-56,40	-23,10	58,34	61,17	109,85	333,88	24,75	1525,2	
0,3920	1684237744	210,00	139,42	167,85	137,75	145,23	107,77	162,45	77,55	25,93	116,44	122,31	60,71	155,37	148,88	157,45	91,13	149,74	30,34	38,06	109,30	113,19	174,24	107,16	104,43	25,65	72,75	156,88	137,95	11,14	67,40	-74,59	303,51	24,88	90,14	74,75	30,15	162,24	135,33	91,60	98,77	71,03	7,462	-57,99	-23,69	58,05	60,58	109,95	334,26	24,75	1525,2	
0,3940	1684237744	210,00	139,21	168,67	137,24	144,93	109,16	162,84	78,24	25,91	117,06	120,98	61,32	156,79	150,60	158,65	90,93	149,74	30,74	37,86	108,91	113,97	173,65	109,11	105,40	25,76	73,37	156,88	137,44	10,93	66,90	-74,69	302,83	24,80	90,55	74,04	31,38	163,76	135,53	93,21	98,67	71,43	7,362	-57,00	-24,09	57,56	60,97	110,24	333,49	24,79	1525,2	
0,3960	1684237744	210,00	140,24	168,06	138,96	144,53	109,07	162,74	77,65	25,86	117,06	120,88	61,42	156,68	148,68	157,04	90,93	149,44	30,54	37,47	109,11	114,37	174,24	107,36	105,89	25,65	72,75	158,20	139,26	10,53	66,60	-75,38	302,63	24,75	90,35	72,91	30,97	164,37	134,92	93,91	98,97	71,03	6,467	-56,60	-23,10	58,25	61,56	109,07	334,26	24,75	1525,2	
0,3980	1684237744	210,00	139,42	168,46	138,76	145,13	108,37	163,14	77,26	25,83	117,06	122,01	60,81	156,18	150,40	158,25	91,73	149,04	32,03	38,46	109,30	114,17	173,45	107,36	105,60	25,65	72,75	157,19	137,95	11,14	67,80	-74,79	302,23	24,78	90,55	74,96	31,68	162,84	134,32	93,01	97,07	71,43	7,263	-57,59	-22,90	57,75	60,39	108,87	333,68	24,75	1525,2	
